filename,title,company_name,location,posted_date,applicants,salary,Python,SQL,SAS,C++,MSc,PhD,Cloud,AWS,Azure,Statistics,Computer Science,CS,consulting,Salary
file_249,"Senior Data Scientist, Monzo Flex",Monzo Bank,,7 hours ago,18 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_25,Data Scientist,Barclays,,5 days ago,29 applicants,,False,False,False,False,False,False,True,True,True,True,True,False,False,
file_250,Senior Data Scientist,Ericsson,,1 week ago,40 applicants,,True,False,False,True,False,False,True,False,True,True,True,False,True,54000,
file_251,Senior Data Scientist,Monzo Bank,,2 weeks ago,17 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_252,Bioscience Data Scientist,Syngenta,,3 days ago,53 applicants,,True,False,False,False,True,True,False,False,False,False,False,False,False,28000,
file_253,Senior Data Scientist,Ipsos UK,,2 weeks ago,49 applicants,,True,True,False,False,False,False,True,False,False,False,True,False,False,
file_254,Data Scientist/Machine Learning/Modelling/Algorithm,JBM Group,,2 weeks ago,13 applicants,,True,False,False,True,True,True,False,False,False,False,False,False,False,
file_255,Lead Data Scientist,Harnham,,3 weeks ago,,,True,True,False,False,False,False,False,False,False,False,False,False,False,75000,
file_256,Data Scientist,Just Group plc,,2 weeks ago,96 applicants,,True,True,False,False,False,False,True,False,False,False,False,False,False,
file_257,"Senior Data Scientist, Monzo Flex",Monzo Bank,,7 hours ago,35 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_258,Data Scientist,LexisNexis Risk Solutions Group,,2 weeks ago,111 applicants,,True,False,False,False,False,False,False,False,False,False,False,False,False,10000,
file_259,Senior Data Scientist - Customer Value Management,Lloyds Banking Group,,3 days ago,18 applicants,,True,True,True,False,False,False,False,False,False,False,False,False,False,
file_26,"Data Scientist, BDSI Solutions Prototyping",Amazon Web Services (AWS),,1 day ago,19 applicants,,True,True,False,False,False,False,False,True,False,True,True,False,False,
file_260,Data Scientist,Entain,,1 month ago,71 applicants,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_261,Senior Data Scientist,PARKSIDE,,23 hours ago,4 applicants,,True,True,False,False,False,False,False,True,True,True,True,False,False,
file_262,Data Scientist Manager,KPMG Ireland,,1 month ago,4 applicants,,True,False,True,False,False,False,False,False,False,False,False,False,True,
file_263,Data Scientist,PAULIMAC LTDA,,1 month ago,1 applicant,,True,True,False,False,False,False,False,False,False,False,False,False,False,
file_264,Data Scientist,Understanding Recruitment,,2 days ago,175 applicants,,True,True,False,False,False,False,False,False,False,True,False,False,False,
file_265,Data Scientist,Malvern Panalytical,,1 month ago,106 applicants,,True,False,False,False,False,True,False,False,True,True,True,False,False,
